 Theta Psi Nu P Q
  0.16336282E+00  0.96426711E+00 -0.15678889E-02  0.20000000E+01  0.13000000E+02
  0.16084954E+01  0.70995678E+00  0.70380751E-09  0.30000000E+01  0.19000000E+02
  0.47249554E+01  0.71315560E+00 -0.49283241E-09  0.30000000E+01  0.19000000E+02
  0.43353979E+01  0.47019507E+00 -0.59175694E-09  0.30000000E+01  0.19000000E+02
  0.12063716E+01  0.44827506E+00  0.31956439E-10  0.30000000E+01  0.19000000E+02
  0.40212386E+00  0.23651670E+00  0.69377469E-09  0.30000000E+01  0.19000000E+02
  0.35562829E+01  0.28012957E+00 -0.80841379E-09  0.30000000E+01  0.19000000E+02
  0.19980529E+01  0.44309344E+00 -0.28490327E-09  0.30000000E+01  0.19000000E+02
  0.51145128E+01  0.42642325E+00 -0.96268398E-09  0.30000000E+01  0.19000000E+02
  0.23876104E+01  0.31848102E+00  0.13356364E-09  0.30000000E+01  0.19000000E+02
  0.27771679E+01  0.27700945E+00 -0.26992090E-09  0.30000000E+01  0.19000000E+02
  0.16210618E+01  0.70526550E+00  0.98753229E-09  0.30000000E+01  0.19000000E+02
  0.47375217E+01  0.71026976E+00  0.51068976E-10  0.30000000E+01  0.19000000E+02
  0.39458404E+01  0.32781574E+00 -0.98353784E-09  0.30000000E+01  0.19000000E+02
  0.55040703E+01  0.28701430E+00 -0.97759688E-09  0.30000000E+01  0.19000000E+02
  0.43479642E+01  0.47764621E+00 -0.34168648E-09  0.30000000E+01  0.19000000E+02
  0.12189379E+01  0.45635165E+00  0.29873739E-09  0.30000000E+01  0.19000000E+02
  0.00000000E+00  0.22184364E+00  0.84673094E-09  0.30000000E+01  0.19000000E+02
  0.16336282E+01  0.69935728E+00  0.99663050E-09  0.30000000E+01  0.19000000E+02
  0.47500881E+01  0.70589077E+00  0.57558031E-09  0.30000000E+01  0.19000000E+02
  0.41469023E+00  0.23750091E+00  0.80260330E-09  0.30000000E+01  0.19000000E+02
  0.35688493E+01  0.28091461E+00 -0.67438719E-09  0.30000000E+01  0.19000000E+02
  0.24001768E+01  0.31624800E+00  0.32732153E-09  0.30000000E+01  0.19000000E+02
  0.51270792E+01  0.41935133E+00 -0.84733084E-09  0.30000000E+01  0.19000000E+02
  0.20106193E+01  0.43676729E+00 -0.29304085E-10  0.30000000E+01  0.19000000E+02
  0.27897343E+01  0.27638333E+00 -0.77797935E-10  0.30000000E+01  0.19000000E+02
  0.43605306E+01  0.48533113E+00 -0.60430772E-10  0.30000000E+01  0.19000000E+02
  0.12315043E+01  0.46470052E+00  0.54994408E-09  0.30000000E+01  0.19000000E+02
  0.16461946E+01  0.69238791E+00  0.74411136E-09  0.30000000E+01  0.19000000E+02
  0.47626545E+01  0.70011636E+00  0.93011698E-09  0.30000000E+01  0.19000000E+02
  0.39584067E+01  0.33045221E+00 -0.90623706E-09  0.30000000E+01  0.19000000E+02
  0.42725660E+00  0.23852277E+00  0.89228825E-09  0.30000000E+01  0.19000000E+02
