 Theta Psi Nu P Q
  0.32169909E+01  0.26935104E+00  0.19559233E-09  0.30000000E+01  0.19000000E+02
  0.47752208E+01  0.69307684E+00  0.10223840E-08  0.30000000E+01  0.19000000E+02
  0.16084954E+01  0.70995678E+00  0.70302581E-09  0.30000000E+01  0.19000000E+02
  0.36191147E+01  0.28443092E+00  0.47122438E-10  0.30000000E+01  0.19000000E+02
  0.59564597E+01  0.23128387E+00 -0.10182352E-08  0.30000000E+01  0.19000000E+02
  0.32421236E+01  0.26961195E+00  0.56247530E-09  0.30000000E+01  0.19000000E+02
  0.48003536E+01  0.67582671E+00  0.45712521E-09  0.30000000E+01  0.19000000E+02
  0.16336282E+01  0.69935728E+00  0.99553518E-09  0.30000000E+01  0.19000000E+02
  0.36442475E+01  0.28643174E+00  0.42014060E-09  0.30000000E+01  0.19000000E+02
  0.50265482E-01  0.10223163E+01 -0.87623879E-03  0.30000000E+01  0.19000000E+02
  0.24630086E+01  0.30619966E+00  0.98962011E-09  0.30000000E+01  0.19000000E+02
  0.45992916E+01  0.66672954E+00  0.52645265E-09  0.30000000E+01  0.19000000E+02
  0.32672564E+01  0.26994373E+00  0.84563720E-09  0.30000000E+01  0.19000000E+02
  0.48254863E+01  0.65545641E+00 -0.49590155E-09  0.30000000E+01  0.19000000E+02
  0.16587609E+01  0.68451811E+00  0.30940536E-09  0.30000000E+01  0.19000000E+02
  0.36693802E+01  0.28860811E+00  0.73932219E-09  0.30000000E+01  0.19000000E+02
  0.52527429E+01  0.36027887E+00  0.98918686E-09  0.30000000E+01  0.19000000E+02
  0.46244244E+01  0.68435711E+00  0.10284315E-08  0.30000000E+01  0.19000000E+02
  0.32923891E+01  0.27034879E+00  0.10033492E-08  0.30000000E+01  0.19000000E+02
  0.16838937E+01  0.66669995E+00 -0.62991883E-09  0.30000000E+01  0.19000000E+02
  0.48506191E+01  0.63321620E+00 -0.10158227E-08  0.30000000E+01  0.19000000E+02
  0.13571680E+01  0.56375967E+00 -0.52960558E-09  0.30000000E+01  0.19000000E+02
  0.28399998E+01  0.27418585E+00  0.65021776E-09  0.30000000E+01  0.19000000E+02
  0.52778757E+01  0.35064682E+00  0.10268730E-08  0.30000000E+01  0.19000000E+02
  0.46495571E+01  0.69895197E+00  0.59622521E-09  0.30000000E+01  0.19000000E+02
  0.33175218E+01  0.27083018E+00  0.10127349E-08  0.30000000E+01  0.19000000E+02
  0.17090264E+01  0.64704061E+00 -0.10295376E-08  0.30000000E+01  0.19000000E+02
  0.48757518E+01  0.61013727E+00 -0.79891035E-09  0.30000000E+01  0.19000000E+02
  0.28651325E+01  0.27325912E+00  0.89871379E-09  0.30000000E+01  0.19000000E+02
  0.61575216E+01  0.22318074E+00  0.62924548E-09  0.30000000E+01  0.19000000E+02
  0.53030084E+01  0.34162690E+00  0.90389551E-09  0.30000000E+01  0.19000000E+02
  0.46746899E+01  0.70929095E+00 -0.43923775E-09  0.30000000E+01  0.19000000E+02
  0.33426546E+01  0.27139152E+00  0.87302056E-09  0.30000000E+01  0.19000000E+02
  0.17341591E+01  0.62645715E+00 -0.67481261E-09  0.30000000E+01  0.19000000E+02
  0.49008845E+01  0.58698856E+00 -0.97419194E-10  0.30000000E+01  0.19000000E+02
  0.28902652E+01  0.27243841E+00  0.10186122E-08  0.30000000E+01  0.19000000E+02
  0.53281411E+01  0.33317639E+00  0.64660620E-09  0.30000000E+01  0.19000000E+02
  0.46998226E+01  0.71426327E+00 -0.10275465E-08  0.30000000E+01  0.19000000E+02
  0.14074335E+01  0.60996236E+00 -0.90072963E-09  0.30000000E+01  0.19000000E+02
  0.33677873E+01  0.27203702E+00  0.60543445E-09  0.30000000E+01  0.19000000E+02
  0.61826543E+01  0.93604578E+00  0.40379427E-03  0.30000000E+01  0.19000000E+02
  0.29153980E+01  0.27171774E+00  0.99112282E-09  0.30000000E+01  0.19000000E+02
  0.17592919E+01  0.60563335E+00  0.92726291E-10  0.30000000E+01  0.19000000E+02
  0.49260173E+01  0.56429981E+00  0.61938354E-09  0.30000000E+01  0.19000000E+02
  0.47249554E+01  0.71315560E+00 -0.49485312E-09  0.30000000E+01  0.19000000E+02
  0.53532739E+01  0.32525583E+00  0.30030567E-09  0.30000000E+01  0.19000000E+02
  0.33929201E+01  0.27277145E+00  0.24981124E-09  0.30000000E+01  0.19000000E+02
  0.14325663E+01  0.63328571E+00 -0.22339074E-09  0.30000000E+01  0.19000000E+02
  0.25384069E+01  0.29633055E+00  0.67518409E-09  0.30000000E+01  0.19000000E+02
  0.29405307E+01  0.27109159E+00  0.81908793E-09  0.30000000E+01  0.19000000E+02
  0.17844246E+01  0.58504985E+00  0.77248635E-09  0.30000000E+01  0.19000000E+02
  0.49511500E+01  0.54241014E+00  0.10007576E-08  0.30000000E+01  0.19000000E+02
  0.47500881E+01  0.70589077E+00  0.57485071E-09  0.30000000E+01  0.19000000E+02
  0.53784066E+01  0.31782883E+00 -0.81027409E-10  0.30000000E+01  0.19000000E+02
  0.34180528E+01  0.27360012E+00 -0.14176958E-09  0.30000000E+01  0.19000000E+02
  0.14576990E+01  0.65579796E+00  0.64911405E-09  0.30000000E+01  0.19000000E+02
  0.30159289E+00  0.22991733E+00 -0.48771933E-09  0.30000000E+01  0.19000000E+02
  0.29656635E+01  0.27055487E+00  0.52684141E-09  0.30000000E+01  0.19000000E+02
  0.18095574E+01  0.56502741E+00  0.10271506E-08  0.30000000E+01  0.19000000E+02
  0.49762828E+01  0.52151864E+00  0.93335344E-09  0.30000000E+01  0.19000000E+02
  0.34431855E+01  0.27452890E+00 -0.51181761E-09  0.30000000E+01  0.19000000E+02
  0.54035394E+01  0.31086189E+00 -0.45138573E-09  0.30000000E+01  0.19000000E+02
  0.14828317E+01  0.67644130E+00  0.10267005E-08  0.30000000E+01  0.19000000E+02
  0.32672564E+00  0.23136337E+00 -0.18675154E-09  0.30000000E+01  0.19000000E+02
  0.29907962E+01  0.27010296E+00  0.15666940E-09  0.30000000E+01  0.19000000E+02
  0.18346901E+01  0.54576817E+00  0.79699355E-09  0.30000000E+01  0.19000000E+02
  0.50014155E+01  0.50172678E+00  0.51009768E-09  0.30000000E+01  0.19000000E+02
  0.34683183E+01  0.27556414E+00 -0.80713758E-09  0.30000000E+01  0.19000000E+02
  0.54286721E+01  0.30432418E+00 -0.74937225E-09  0.30000000E+01  0.19000000E+02
  0.15079645E+01  0.69392385E+00  0.46796462E-09  0.30000000E+01  0.19000000E+02
  0.30159289E+01  0.26973174E+00 -0.23726892E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+00  0.23294222E+00  0.12971471E-09  0.30000000E+01  0.19000000E+02
  0.27143361E+01  0.28064796E+00 -0.96360363E-09  0.30000000E+01  0.19000000E+02
  0.34934510E+01  0.27671271E+00 -0.98563907E-09  0.30000000E+01  0.19000000E+02
  0.50265482E+01  0.48307071E+00 -0.70949351E-10  0.30000000E+01  0.19000000E+02
  0.54538048E+01  0.29818736E+00 -0.94576974E-09  0.30000000E+01  0.19000000E+02
  0.15330972E+01  0.70688048E+00 -0.57512811E-09  0.30000000E+01  0.19000000E+02
  0.30410617E+01  0.26943760E+00 -0.59685413E-09  0.30000000E+01  0.19000000E+02
  0.37699112E+00  0.23465834E+00  0.43947871E-09  0.30000000E+01  0.19000000E+02
  0.35185838E+01  0.27798199E+00 -0.10223662E-08  0.30000000E+01  0.19000000E+02
  0.50516810E+01  0.46554435E+00 -0.60496913E-09  0.30000000E+01  0.19000000E+02
  0.15582300E+01  0.71416002E+00 -0.10215394E-08  0.30000000E+01  0.19000000E+02
  0.30661944E+01  0.26921745E+00 -0.86867360E-09  0.30000000E+01  0.19000000E+02
